Date,Title,Price,Info
2026-05-08,Sell your car in 45 min,Tokunbo under ₦10M,Free car evaluation | Tokunbo under ₦10M | Taxi-Ready
2026-05-08,Verified ID,"₦ 105,500,000","5+ YEARS ON JIJI | DIAMOND | ₦ 105,500,000"
2026-05-08,"₦ 105,500,000","₦ 105,500,000","Mercedes-Benz GLE-Class GLE 450 4MATIC 2021 White | No be cho cho cho! give away new entry 2021 on bet gle450 coupe , with navigation , screen leather... | Foreign Used"
2026-05-08,Verified ID,"₦ 26,500,000","QUICK REPLY | ENTERPRISE | ₦ 26,500,000"
2026-05-08,"₦ 26,500,000","₦ 26,500,000",Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2018 Silver | ●FOREIGN USED TOKS ● Toyota Rav4 Limited ● Yëär 2018 360 degree camera HUD ● Löw Mileage ● Moon... | Foreign Used
2026-05-08,Verified ID,"₦ 11,800,000","3+ YEARS ON JIJI | ENTERPRISE | ₦ 11,800,000"
2026-05-08,"₦ 11,800,000","₦ 11,800,000",Hyundai Elantra Limited Sedan FWD (2.0L 4cyl 6A) 2017 Gray | Distress distress distress 2017 hyundai elantra limited edition going for just 11.8m location abuja... | Foreign Used
2026-05-08,Verified ID,"₦ 11,000,000","ENTERPRISE | ₦ 11,000,000 | Honda Accord 2014 Blue"
2026-05-08,"₦ 11,000,000","₦ 11,000,000",Honda Accord 2014 Blue | Extremely clean sharp Belgium standard 2014 Honda accord in a good condition few months used | Local Used
2026-05-08,Verified ID,"₦ 75,000,000","ENTERPRISE | ₦ 75,000,000 | BMW X2 xDrive28i AWD 2024 White"
2026-05-08,"₦ 75,000,000","₦ 75,000,000",BMW X2 xDrive28i AWD 2024 White | 2025 bmw x2 coupe Dm me for more information on this beautiful ride | Foreign Used
2026-05-08,Verified ID,"₦ 58,000,000","ENTERPRISE | ₦ 58,000,000 | Tesla Model S 2018 Gray"
2026-05-08,"₦ 58,000,000","₦ 58,000,000",Tesla Model S 2018 Gray | Direct Belgium 2018 Tesla Model with original custom duty | Foreign Used
2026-05-08,5+ YEARS ON JIJI,"₦ 850,000,000","ENTERPRISE | ₦ 850,000,000 | New Mercedes-Benz G-Class 2025 Black"
2026-05-08,"₦ 850,000,000","₦ 850,000,000","New Mercedes-Benz G-Class 2025 Black | Brand New 2025 G63 AMG 4Matic Bullet Proof with thumbs start, reverse camera and Bluetooth with... | Brand New"
