Date,Title,Price,Info
2026-05-08,Sell your car in 45 min,Tokunbo under ₦10M,Free car evaluation | Tokunbo under ₦10M | Taxi-Ready
2026-05-08,"₦ 11,300,000","₦ 11,300,000",Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Gray | Foreign used 2014 Toyota Camry Sport 2025 on custom Location surelere Condition:engine gear ac... | Foreign Used
2026-05-08,"₦ 5,300,000","₦ 5,300,000",Toyota Corolla 2003 Silver | Engine /gear /A/C. Working perfect | Foreign Used
2026-05-08,Verified ID,"₦ 13,900,000","5+ YEARS ON JIJI | ENTERPRISE | ₦ 13,900,000"
2026-05-08,"₦ 13,900,000","₦ 13,900,000",Porsche Panamera S 2012 White | CLEAN PORSCHE EVERYTHING INTACT JUST BUY ANF DRIVE NOTHING TO FIX EVERYTHING INTACT | Local Used
2026-05-08,Verified ID,"₦ 242,000,000","ENTERPRISE | ₦ 242,000,000 | Land Rover Range Rover P530 SE SWB 2023 White"
2026-05-08,"₦ 242,000,000","₦ 242,000,000","Land Rover Range Rover P530 SE SWB 2023 White | Exceptionally neat . Clean car fax , low miles . | Foreign Used"
2026-05-08,Verified ID,"₦ 5,999,999","5+ YEARS ON JIJI | ENTERPRISE | ₦ 5,999,999"
2026-05-08,"₦ 5,999,999","₦ 5,999,999","Toyota Camry Automatic 1999 Gold | Direct Tokunbo toyota Camry aka tiny light with untouched engine and gear factory fitter ac, factory... | Foreign Used"
2026-05-08,Verified ID,"₦ 14,500,000","ENTERPRISE | ₦ 14,500,000 | Mercedes-Benz CLA-Class 2013 Black"
2026-05-08,"₦ 14,500,000","₦ 14,500,000",Mercedes-Benz CLA-Class 2013 Black | Good deal Mercedes CLA 2013 model | Foreign Used
2026-05-08,DIAMOND,"₦ 17,900,000","₦ 17,900,000 | Lexus RX 350 2010 Silver | *accident free foreign used 2010 lexus rx 350 full option (DEC 2025 entry)* pric:18.2 !!location..."
2026-05-08,"₦ 17,900,000","₦ 17,900,000",Lexus RX 350 2010 Silver | *accident free foreign used 2010 lexus rx 350 full option (DEC 2025 entry)* pric:18.2 !!location... | Foreign Used
2026-05-08,Verified ID,"₦ 19,800,000","DIAMOND | ₦ 19,800,000 | Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Black"
2026-05-08,"₦ 19,800,000","₦ 19,800,000",Mercedes-Benz GLE-Class GLE 350d 4MATIC 2016 Black | This is a distress sale. Hurry now while offer last | Local Used
2026-05-08,Verified ID,"₦ 25,000,000","3+ YEARS ON JIJI | ₦ 25,000,000 | Lexus LX 2020 Black"
2026-05-08,"₦ 25,000,000","₦ 25,000,000",Lexus LX 2020 Black | Lexus LX 570 upgrade to 2020 Engine has cold start Gear I’m perfectly condition Ac chilling like ice... | Local Used
2026-05-08,Verified ID,"₦ 225,000,000","5+ YEARS ON JIJI | DIAMOND | ₦ 225,000,000"
2026-05-08,"₦ 225,000,000","₦ 225,000,000","Mercedes-Benz G-Class G 63 AMG 4MATIC 2019 Black | USED NOT REGISTERED 2019 G63 , With 360 Camara Navigation Screen Camara Leather Seat Interiors... | Foreign Used"
2026-05-08,Verified ID,"₦ 6,500,000","5+ YEARS ON JIJI | ₦ 6,500,000 | Toyota Vios 2006 Silver"
2026-05-08,"₦ 6,500,000","₦ 6,500,000",Toyota Vios 2006 Silver | Just arrived Serious Buyers only please Accident free | Foreign Used
2026-05-08,Verified ID,"₦ 4,950,000","ENTERPRISE | ₦ 4,950,000 | Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2012 White"
2026-05-08,"₦ 4,950,000","₦ 4,950,000",Hyundai Sonata Limited Sedan FWD (2.4L 4cyl 6A) 2012 White | Distress Distress Dealers deal Hyundai sonata 2012 Avoid any negotiation below 4.8m Was 5million... | Local Used
2026-05-08,Verified ID,"₦ 25,500,000","5+ YEARS ON JIJI | DIAMOND | ₦ 25,500,000"
2026-05-08,"₦ 25,500,000","₦ 25,500,000","Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015 Blue | Toks toks new entry give away price 2015 on bet c300 , with navigation ,panoramic, screen leather... | Foreign Used"
2026-05-08,Verified ID,"₦ 11,800,000","3+ YEARS ON JIJI | ENTERPRISE | ₦ 11,800,000"
2026-05-08,"₦ 11,800,000","₦ 11,800,000",Hyundai Elantra Limited Sedan FWD (2.0L 4cyl 6A) 2017 Gray | Distress distress distress 2017 hyundai elantra limited edition going for just 11.8m location abuja... | Foreign Used
2026-05-08,Verified ID,"₦ 9,800,000","₦ 9,800,000 | Toyota 4-Runner Limited V6 2009 Black | Good deal Nigeria used Toyota 4runner 2009 2016 Full option Untouched engine gear & ac..."
2026-05-08,"₦ 9,800,000","₦ 9,800,000",Toyota 4-Runner Limited V6 2009 Black | Good deal Nigeria used Toyota 4runner 2009 2016 Full option Untouched engine gear & ac... | Local Used
2026-05-08,Verified ID,"₦ 8,900,000","5+ YEARS ON JIJI | DIAMOND | ₦ 8,900,000"
2026-05-08,"₦ 8,900,000","₦ 8,900,000",Lexus IS 250 2010 Black | Xinoa75 Super neat Cleanest ride in ph | Local Used
2026-05-08,POPULAR,"₦ 13,000,000","QUICK REPLY | DIAMOND | ₦ 13,000,000"
2026-05-08,"₦ 13,000,000","₦ 13,000,000",Toyota Corolla 2017 Black | Newly arrive 2012 Toyota Corolla for sale. Price 13m | Foreign Used
2026-05-08,Verified ID,"₦ 105,500,000","5+ YEARS ON JIJI | DIAMOND | ₦ 105,500,000"
2026-05-08,"₦ 105,500,000","₦ 105,500,000","Mercedes-Benz GLE-Class GLE 450 4MATIC 2021 White | No be cho cho cho! give away new entry 2021 on bet gle450 coupe , with navigation , screen leather... | Foreign Used"
2026-05-08,Verified ID,"₦ 6,200,000","3+ YEARS ON JIJI | ₦ 6,200,000 | Hyundai Sonata 2012 Silver"
2026-05-08,"₦ 6,200,000","₦ 6,200,000",Hyundai Sonata 2012 Silver | 2012 Hyundai Sonata silent Engine Gear working Ac working First body well maintained and used... | Local Used
2026-05-08,Verified ID,"₦ 12,500,000","3+ YEARS ON JIJI | ₦ 12,500,000 | Honda Crosstour 2013 Blue"
2026-05-08,"₦ 12,500,000","₦ 12,500,000","Honda Crosstour 2013 Blue | 3 months used Honda crosstour 2013 model full Option , reverse camera, keyless entry , extremely... | Local Used"
2026-05-08,Verified ID,"₦ 10,500,000","DIAMOND | ₦ 10,500,000 | Honda Accord EX 4dr Sedan (2.4L 4cyl CVT) 2014 Gray"
2026-05-08,"₦ 10,500,000","₦ 10,500,000","Honda Accord EX 4dr Sedan (2.4L 4cyl CVT) 2014 Gray | This Accord is in excellent condition. Engine, transmission and Ac are in excellent condition | Foreign Used"
2026-05-08,Verified ID,"₦ 50,000,000","5+ YEARS ON JIJI | ₦ 50,000,000 | Dodge Challenger SRT Hellcat RWD 2020 Black"
2026-05-08,"₦ 50,000,000","₦ 50,000,000",Dodge Challenger SRT Hellcat RWD 2020 Black | Foreign used 2020 Dodge challenger SRT Hellcat | Foreign Used
2026-05-08,Verified ID,"₦ 10,000,000","3+ YEARS ON JIJI | ENTERPRISE | ₦ 10,000,000"
2026-05-08,"₦ 10,000,000","₦ 10,000,000","Toyota Venza 2010 White | 2010 venza 6 plug full options with panoramic views keyless, power boot 4wd register venza for sale... | Local Used"
